Date,price_vs_SMA200,SMA50_vs_SMA200,RSI14,ATR14_pct,hvol20,vol_ratio,MACD_hist
2021-12-09,-0.03117936003392608,0.05890153315707777,45.318548373412185,0.038009497383257186,0.5819853069765958,1.1202180693834078,0.6587787108437904
2021-12-10,-0.021585355179818633,0.05553837581469687,47.59368236640058,0.036938271375976245,0.5837918314599804,1.0727451505344947,0.7616967514996871
2021-12-11,-0.021959207803575003,0.05183534234796975,47.59368236640057,0.034299822588703954,0.5837918314599804,0.0,0.8112030557397838
2021-12-12,-0.022323439178274736,0.0481451462131826,47.59368236640057,0.03184983454368496,0.582471339743735,0.0,0.8227878202120924
2021-12-13,-0.027801539259927305,0.04442669703308275,46.34014152199626,0.03202694135780319,0.574616274090773,1.186838712803473,0.783870972288077
2021-12-14,-0.03572831501272694,0.04055993635751929,44.48082892058366,0.03251964613708456,0.574664205380863,1.0445465296057865,0.7020669793745633
2021-12-15,-0.03411925623708847,0.03648117586855483,45.07415913311618,0.0324250578164644,0.5749112069254935,0.820242820433434,0.6407424668747577
2021-12-16,-0.01394687640201069,0.0332523831403015,51.1393769123713,0.031572975434356505,0.33544276587384436,0.4402989650390433,0.6814383246132159
2021-12-17,-0.034952659023667065,0.029677993097571742,45.672082689295635,0.032456626754650685,0.34623216245381877,0.2384454304088809,0.589025158198494
2021-12-18,-0.03515896072165521,0.025996647685163486,45.67208268929563,0.03013829583708814,0.34623216245381877,0.0,0.5136864024324939
2021-12-19,-0.035292287120177936,0.022394121414548912,45.67208268929563,0.02798556004500131,0.3341967880964824,0.0,0.451828143312329
2021-12-20,-0.0710611241414786,0.018257463903907003,37.10046034058284,0.03203422988703202,0.30143641361791135,1.7431280382837475,0.23279183599724074
2021-12-21,-0.03181317962037353,0.014633067339971238,48.53139514506953,0.03187172746786774,0.3308290218440579,1.3278653758822883,0.27846430092461727
2021-12-22,-0.009698828791305708,0.011381109935734228,53.67620182376791,0.03124491986826377,0.3358177209081871,1.2165532056842743,0.4072501201923664
2021-12-23,0.004035061845842323,0.009170201615065886,56.609770871360546,0.030234396369490917,0.33589532435544506,1.1114545550642456,0.5415215980556303
2021-12-24,0.003723675083531876,0.007491538725447414,56.609770871360546,0.028074796368996697,0.33589532435544506,0.0,0.6052262988744296
2021-12-25,0.0034684274504970347,0.005200927323210946,56.609770871360546,0.026069453547185942,0.33589532435544506,0.0,0.6199821721184565
2021-12-26,0.0032071717285404506,0.00290534460438684,56.609770871360546,0.024207349529222297,0.29492882472638604,0.0,0.6018712765095429
2021-12-27,0.027038405675713792,0.0009961888714210571,62.17734371566468,0.025275885545159887,0.27867961730335494,1.2684328224059407,0.6763331018570522
2021-12-28,0.03225495080966605,-0.0009652746573898115,63.34407505033469,0.02465054789114493,0.2788026241640018,1.2429550344113611,0.7159429198135384
2021-12-29,0.039735629312672806,-0.0034101036054727018,64.98935406563652,0.024591670620523524,0.2665158019511837,1.4509215081331213,0.7408483826373491
2021-12-30,0.045143829612850295,-0.005002407538761587,66.20060492657282,0.02424767736515823,0.26555639953184423,1.2355291805532282,0.7439710521132923
2021-12-31,0.0206802615307441,-0.007026419535534126,57.35476450804557,0.025071492577064588,0.2820215810510286,1.1918337188948604,0.5905443591601715
